iter	Passed	Remaining
0	0	87
1	1	82
2	2	83
3	3	81
4	4	78
5	4	77
6	5	79
7	6	79
8	8	81
9	9	84
10	10	83
11	11	81
12	11	79
13	12	77
14	13	76
15	14	74
16	15	75
17	16	74
18	17	73
19	18	72
20	19	71
21	21	77
22	23	77
23	24	76
24	25	75
25	25	73
26	26	72
27	27	71
28	28	69
29	29	68
30	29	66
31	30	65
32	31	64
33	32	63
34	34	64
35	36	64
36	37	63
37	38	62
38	38	60
39	39	59
40	40	57
41	41	56
42	42	55
43	42	54
44	43	53
45	44	52
46	45	51
47	48	52
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	59	41
59	61	40
60	62	40
61	63	39
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	68	32
68	69	31
69	70	30
70	72	29
71	75	29
72	76	28
73	77	27
74	78	26
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	89	17
84	90	15
85	91	14
86	91	13
87	93	12
88	94	11
89	94	10
90	95	9
91	96	8
92	99	7
93	103	6
94	104	5
95	105	4
96	105	3
97	106	2
98	107	1
99	108	0
